hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r1,BPR,BPR,4.872150556866339e-05,22.23,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r2,BPR,BPR,1.0613286991581189e-05,5.1,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r3,BPR,BPR,9.10174738897695e-06,2.62,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r4,BPR,BPR,1.2178014326614276e-05,4.32,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r5,BPR,BPR,7.007321989009115e-06,2.15,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
CPU,cpu,N/A,12,False,BPR,BPR_BPR_r6,BPR,BPR,6.214058928713392e-06,2.47,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
CPU,cpu,N/A,12,False,BPR,BPR_CE_r1,CE,CE,1.570301236330223e-05,3.94,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
CPU,cpu,N/A,12,False,BPR,BPR_CE_r2,CE,CE,1.0790726071796653e-05,4.07,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
CPU,cpu,N/A,12,False,BPR,BPR_CE_r3,CE,CE,9.431917690610626e-06,2.8,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
CPU,cpu,N/A,12,False,BPR,BPR_CE_r4,CE,CE,1.1604580214119845e-05,3.82,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
CPU,cpu,N/A,12,False,BPR,BPR_CE_r5,CE,CE,8.74734681624406e-06,2.68,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
CPU,cpu,N/A,12,False,BPR,BPR_CE_r6,CE,CE,7.65295197177252e-06,3.49,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r1,MSE,MSE,1.598271149115868e-05,4.37,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r2,MSE,MSE,9.537249295772309e-06,2.73,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r3,MSE,MSE,1.2503454237505129e-05,3.83,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r4,MSE,MSE,1.2268804454861903e-05,3.79,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r5,MSE,MSE,7.784541001165233e-06,2.75,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
CPU,cpu,N/A,12,False,BPR,BPR_MSE_r6,MSE,MSE,6.417568207894624e-06,2.15,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
CPU,cpu,N/A,12,False,FM,FM_s2024_r1,N/A,N/A,0.00010935267805064905,23.47,0.0386,0.0425,0.0145,0.0314,0.0744,0.0884,0.0375,0.0381,0.1432,0.2513,0.0209,0.0173
CPU,cpu,N/A,12,False,FM,FM_s2024_r2,N/A,N/A,5.9237769005604166e-05,12.83,0.0285,0.0293,0.0095,0.0188,0.0614,0.0709,0.0267,0.0258,0.1135,0.1856,0.015,0.0113
CPU,cpu,N/A,12,False,FM,FM_s2024_r3,N/A,N/A,5.763311302901604e-05,12.38,0.0503,0.0511,0.0192,0.0374,0.0972,0.111,0.0473,0.0433,0.1771,0.281,0.0282,0.0213
CPU,cpu,N/A,12,False,FM,FM_s2024_r4,N/A,N/A,8.998228319931287e-05,19.4,0.047,0.0499,0.018,0.0366,0.089,0.1042,0.0462,0.0438,0.1697,0.2789,0.0261,0.0211
CPU,cpu,N/A,12,False,FM,FM_s2024_r5,N/A,N/A,6.715073874365447e-05,14.87,0.0474,0.0503,0.0176,0.0369,0.0946,0.1074,0.0435,0.0427,0.1654,0.2641,0.027,0.0215
CPU,cpu,N/A,12,False,FM,FM_s2024_r6,N/A,N/A,4.1046746736444e-05,9.84,0.0169,0.0193,0.0072,0.0147,0.037,0.0458,0.0161,0.0172,0.0785,0.1463,0.0082,0.0067
CPU,cpu,N/A,12,False,FM,FM_s2025_r1,N/A,N/A,0.00011373549464933517,23.84,0.0457,0.0441,0.0185,0.0308,0.0892,0.1001,0.0445,0.0376,0.1771,0.2598,0.0243,0.0181
CPU,cpu,N/A,12,False,FM,FM_s2025_r2,N/A,N/A,6.40225861026419e-05,13.73,0.0351,0.0366,0.0135,0.0267,0.0735,0.0856,0.0331,0.032,0.14,0.2365,0.0183,0.014
CPU,cpu,N/A,12,False,FM,FM_s2025_r3,N/A,N/A,5.607576590018507e-05,12.5,0.0415,0.0435,0.0162,0.0311,0.0788,0.0929,0.0405,0.0386,0.1516,0.2577,0.0228,0.0177
CPU,cpu,N/A,12,False,FM,FM_s2025_r4,N/A,N/A,8.544140295789292e-05,17.88,0.0421,0.0457,0.0155,0.034,0.0762,0.0903,0.0435,0.0425,0.1633,0.2672,0.0232,0.0189
CPU,cpu,N/A,12,False,FM,FM_s2025_r5,N/A,N/A,6.751565261667799e-05,14.87,0.0415,0.0393,0.0151,0.0263,0.0852,0.0938,0.0384,0.0323,0.1548,0.2216,0.023,0.0167
CPU,cpu,N/A,12,False,FM,FM_s2025_r6,N/A,N/A,4.5518118344097604e-05,11.01,0.0231,0.0257,0.0082,0.0181,0.0535,0.0658,0.0199,0.0226,0.0944,0.1888,0.0121,0.0093
CPU,cpu,N/A,12,False,FM,FM_s2026_r1,N/A,N/A,9.822029718587804e-05,21.43,0.0442,0.0469,0.0192,0.038,0.0833,0.0978,0.0441,0.0409,0.1771,0.2853,0.0234,0.0185
CPU,cpu,N/A,12,False,FM,FM_s2026_r2,N/A,N/A,6.309843430123239e-05,13.47,0.033,0.0357,0.0138,0.0278,0.0632,0.0749,0.0335,0.0318,0.1389,0.2259,0.0166,0.0136
CPU,cpu,N/A,12,False,FM,FM_s2026_r3,N/A,N/A,5.5837870952396074e-05,12.68,0.0643,0.0609,0.0255,0.0425,0.1231,0.1341,0.0596,0.0485,0.2206,0.3043,0.0362,0.0269
CPU,cpu,N/A,12,False,FM,FM_s2026_r4,N/A,N/A,9.963455214505608e-05,20.7,0.0529,0.0533,0.0198,0.0382,0.1046,0.1189,0.0484,0.044,0.1824,0.2906,0.0299,0.0227
CPU,cpu,N/A,12,False,FM,FM_s2026_r5,N/A,N/A,6.622699009189656e-05,14.42,0.0522,0.0509,0.0215,0.038,0.1012,0.1121,0.0496,0.0413,0.1941,0.2757,0.0287,0.0216
CPU,cpu,N/A,12,False,FM,FM_s2026_r6,N/A,N/A,4.8376969394879716e-05,11.08,0.0115,0.0135,0.0055,0.0114,0.0201,0.0275,0.0138,0.0138,0.0626,0.1177,0.0048,0.0041
CPU,cpu,N/A,12,False,ItemKNN,ItemKNN_s2024_r1,N/A,N/A,1.4670439004205494e-05,5.25,0.2556,0.2594,0.1456,0.2316,0.4017,0.4195,0.2221,0.1797,0.6246,0.7508,0.1747,0.152
CPU,cpu,N/A,12,False,ItemKNN,ItemKNN_s2024_r2,N/A,N/A,1.503829637859105e-05,4.54,0.276,0.272,0.1489,0.2332,0.4365,0.4553,0.2363,0.1854,0.632,0.7699,0.193,0.161
