hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r1,BPR,BPR,4.9818920621721736e-05,12.3,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r2,BPR,BPR,2.6422062048848754e-05,3.02,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r3,BPR,BPR,2.1096790448195223e-05,2.96,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r4,BPR,BPR,2.9969958774633173e-05,3.32,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r5,BPR,BPR,1.928922984237855e-05,2.76,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_BPR_r6,BPR,BPR,2.0183872326715565e-05,2.45,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r1,CE,CE,3.7534924052121337e-05,3.92,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r2,CE,CE,2.609276430225381e-05,3.33,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r3,CE,CE,2.1039651670305415e-05,2.89,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r4,CE,CE,2.960258807241959e-05,3.23,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r5,CE,CE,1.9222287629201987e-05,2.41,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_CE_r6,CE,CE,1.855938170938324e-05,2.72,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r1,MSE,MSE,3.7591294302473125e-05,3.92,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r2,MSE,MSE,2.166981528134711e-07,3.58,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r3,MSE,MSE,2.1083553167867992e-05,2.91,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r4,MSE,MSE,2.977984019495694e-05,3.3,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r5,MSE,MSE,1.928830364163589e-05,2.42,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,BPR,BPR_MSE_r6,MSE,MSE,1.816215066075607e-05,2.62,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2024_r1,N/A,N/A,9.659863241839127e-05,9.0,0.0386,0.0425,0.0145,0.0314,0.0744,0.0884,0.0375,0.0381,0.1432,0.2513,0.0209,0.0173
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,FM,FM_s2024_r2,N/A,N/A,6.838160312783432e-05,6.38,0.0285,0.0293,0.0095,0.0188,0.0614,0.0709,0.0267,0.0258,0.1135,0.1856,0.015,0.0113
