hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r1,BPR,BPR,0.0001084784082837684,18.18,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r2,BPR,BPR,3.9076472668400456e-05,5.41,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r3,BPR,BPR,1.9107342619731613e-05,2.9,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r4,BPR,BPR,2.6122755595148195e-05,3.23,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r5,BPR,BPR,1.714457287970255e-05,2.71,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_BPR_r6,BPR,BPR,2.2032861776779073e-05,2.92,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r1,CE,CE,3.374964260093616e-05,4.1,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r2,CE,CE,2.3759019339325752e-05,3.36,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r3,CE,CE,1.8938302541512937e-05,2.95,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r4,CE,CE,3.0177288286001265e-05,4.04,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r5,CE,CE,1.7335853017135933e-05,2.42,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_CE_r6,CE,CE,1.6238752175967127e-05,2.65,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_MSE_r1,MSE,MSE,3.537982369188906e-05,4.12,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
T4_GPU,cuda,Tesla T4,12,False,BPR,BPR_MSE_r2,MSE,MSE,2.385224368719181e-05,3.81,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
