hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
TPU,xla,N/A,47,False,BPR,BPR_BPR_r1,BPR,BPR,1.2710635006566475e-05,7.25,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
TPU,xla,N/A,47,False,BPR,BPR_BPR_r2,BPR,BPR,9.891632515359329e-06,4.9,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
TPU,xla,N/A,47,False,BPR,BPR_BPR_r3,BPR,BPR,6.5308612831519195e-06,3.3,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
TPU,xla,N/A,47,False,BPR,BPR_BPR_r4,BPR,BPR,9.330244696716391e-06,4.69,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
TPU,xla,N/A,47,False,BPR,BPR_BPR_r5,BPR,BPR,6.015962131638631e-06,2.99,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
TPU,xla,N/A,47,False,BPR,BPR_BPR_r6,BPR,BPR,5.374838043219079e-06,2.9,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
TPU,xla,N/A,47,False,BPR,BPR_CE_r1,CE,CE,1.2182212639431197e-05,5.72,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
TPU,xla,N/A,47,False,BPR,BPR_CE_r2,CE,CE,8.26398039195159e-06,3.98,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
TPU,xla,N/A,47,False,BPR,BPR_CE_r3,CE,CE,6.602950937894828e-06,3.5,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
TPU,xla,N/A,47,False,BPR,BPR_CE_r4,CE,CE,1.0022414131081548e-05,4.82,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
