hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r1,BPR,BPR,9.470947133796582e-06,3.22,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r2,BPR,BPR,6.017505362401933e-06,1.5,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r3,BPR,BPR,4.825388841265363e-06,1.09,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r4,BPR,BPR,6.95109168011574e-06,1.64,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r5,BPR,BPR,4.579314212870111e-06,1.04,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_BPR_r6,BPR,BPR,4.172304890340822e-06,1.25,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r1,CE,CE,9.352933583543313e-06,1.95,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r2,CE,CE,6.1998660039515925e-06,1.29,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r3,CE,CE,4.756641877027635e-06,1.31,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r4,CE,CE,7.195957761012045e-06,1.67,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r5,CE,CE,4.659565486764925e-06,1.09,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_CE_r6,CE,CE,4.186731715315593e-06,1.22,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_MSE_r1,MSE,MSE,9.3827364712506e-06,1.74,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_MSE_r2,MSE,MSE,5.948288059378672e-06,1.47,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
TPU_HighRAM,xla,N/A,172,True,BPR,BPR_MSE_r3,MSE,MSE,4.853887863997715e-06,1.08,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
